date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,
2017-10-02,2018-01-01,315.4,326.7500004,321.3872451,11.35000038,5.893057084,
2017-10-03,2018-01-02,315.4,327.5999998,321.9987172,12.19999981,5.727203773,
2017-10-04,2018-01-03,315.4,328.7999996,321.5672125,13.39999962,5.554409041,
2017-10-05,2018-01-04,315.4,326.0999998,322.0232648,10.69999981,5.365657056,
2017-10-06,2018-01-05,315.4,330.0499996,320.707446,14.64999962,5.174155787,
2017-10-09,2018-01-08,315.4,332.3500008,320.4820241,16.95000076,4.991145832,
2017-10-10,2018-01-09,321.25,331.5500002,321.2345663,-10.30000019,4.776569172,
2017-10-11,2018-01-10,324.35,328.9499999,324.9353353,4.599999905,4.707282708,
2017-10-12,2018-01-11,326.75,327.6,318.4693069,-0.850000024,4.686188915,
2017-10-13,2018-01-12,326.4,327.95,321.3895182,-1.549999952,4.683666319,
2017-10-16,2018-01-15,326.6,328.4,323.3566979,-1.799999952,4.679628332,
2017-10-17,2018-01-16,326.9,331.5999998,329.3400725,4.699999809,4.696570998,
2017-10-18,2018-01-17,326.95,330.2999999,328.8556424,3.349999905,4.701790873,
2017-10-19,2018-01-18,325.2,330.5000002,321.8994548,-5.300000191,4.708074203,
2017-10-20,2018-01-19,327.35,330.6999999,328.4323046,3.349999905,4.7026385,
2017-10-23,2018-01-22,328.15,327.35,333.7698645,-0.800000012,4.7026385,
2017-10-24,2018-01-23,327.65,332.3499998,329.3581431,4.699999809,4.729004143,
2017-10-25,2018-01-24,327.85,332.6999999,332.8093701,4.849999905,4.758144104,
2017-10-26,2018-01-25,324.85,335.4000002,325.0074852,10.55000019,4.834037727,
2017-10-27,2018-01-26,327.95,337.0500004,328.7494878,9.100000381,4.922876999,
2017-10-30,2018-01-29,328.55,339.6000002,329.8603468,11.05000019,5.100031823,
2017-10-31,2018-01-30,332.15,334.9999999,330.7728356,-2.849999905,5.15453678,
2017-11-01,2018-01-31,337.65,335.5500001,333.7315778,2.099999905,5.203186221,
2017-11-02,2018-02-01,336.15,334.75,337.3855981,-1.399999976,5.141400361,
2017-11-03,2018-02-02,337.45,328.5000002,338.2463204,-8.949999809,5.06372083,
2017-11-06,2018-02-05,335.25,324.1000004,335.7882408,-11.14999962,4.982892879,
2017-11-07,2018-02-06,334.85,318.7499996,337.3483499,-16.10000038,5.062341194,
2017-11-08,2018-02-07,336.35,310.6,337.5109674,-25.75,5.455244317,
2017-11-09,2018-02-08,334.75,313.6000004,335.9189128,-21.14999962,5.640233013,
2017-11-10,2018-02-09,334,304.9500008,338.8904991,-29.04999924,6.231775481,
2017-11-13,2018-02-12,332.65,309.1999992,344.6949781,-23.45000076,6.559609759,
2017-11-14,2018-02-13,332.4,312.5000004,349.3812927,-19.89999962,6.754260375,
2017-11-15,2018-02-14,330.25,315.3999996,340.9336157,-14.85000038,6.853186394,
2017-11-16,2018-02-15,332.4,315.4,339.2672218,-17,6.965844577,
2017-11-17,2018-02-16,332.05,315.4000004,336.9925879,-16.64999962,7.04391205,
2017-11-20,2018-02-19,330.55,317.3500002,331.3549671,-13.19999981,7.07756757,
2017-11-21,2018-02-20,331.95,313.0999996,339.4993531,-18.85000038,7.215886587,
2017-11-22,2018-02-21,333.65,315.15,341.1501798,-18.5,7.276442375,
2017-11-23,2018-02-22,332.55,312.9499996,342.2045715,-19.60000038,7.348892572,
2017-11-24,2018-02-23,333.35,318.0499998,348.3643175,-15.30000019,7.330564626,
2017-11-27,2018-02-26,327,318.1999998,339.1543837,-8.800000191,7.28902886,
2017-11-28,2018-02-27,328.8,316.8500002,331.8715303,-11.94999981,7.339321445,
2017-11-29,2018-02-28,328.8,313.55,339.2727812,-15.25,7.431865807,
2017-11-30,2018-03-01,323.35,313.5499998,343.6102596,-9.800000191,7.516062714,
2017-12-01,2018-03-02,322.95,309.2500002,346.1211712,-13.69999981,7.724855631,
2017-12-04,2018-03-05,326.1,304.9500004,334.8335854,-21.14999962,8.056216562,
2017-12-05,2018-03-06,327.7,311.4000008,344.7504131,-16.29999924,8.178633008,
2017-12-06,2018-03-07,322.75,311.5500002,338.4005127,-11.19999981,8.277834446,
2017-12-07,2018-03-08,321.8,314.7000001,336.9856441,-7.099999905,8.337492517,
2017-12-08,2018-03-09,322.5,318.1999998,340.1908703,-4.300000191,8.355002166,
2017-12-11,2018-03-12,322.6,321.2,347.4928452,-1.399999976,8.356800931,
2017-12-12,2018-03-13,321.55,322.6,344.104739,1.049999952,8.356800931,
2017-12-13,2018-03-14,323.95,322.65,340.1195423,-1.299999952,8.355788336,
2017-12-14,2018-03-15,325.4,323.95,336.3201803,-1.450000048,8.355788336,
2017-12-15,2018-03-16,323.85,323.1,340.1236683,-0.75,8.348759556,
2017-12-18,2018-03-19,325.25,320.9499998,340.7246485,-4.300000191,8.349569207,
2017-12-19,2018-03-20,324.95,322.4,343.9017746,-2.549999952,8.34265013,
2017-12-20,2018-03-21,324.65,322.7,339.3321651,-1.950000048,8.337023227,
2017-12-21,2018-03-22,317.95,323.2,343.0057327,5.25,8.333052256,
2017-12-22,2018-03-23,319.6,312.6,347.4912582,-7,8.403032843,
2017-12-25,2018-03-26,319.6,315.6,344.864267,-4,8.437520578,
2017-12-26,2018-03-27,318.55,316.25,336.6668518,-2.299999952,8.463978245,
2017-12-27,2018-03-28,322.3,311.7499998,343.424197,-10.55000019,8.550505922,
2017-12-28,2018-03-29,326.75,315.5500002,341.2792816,-11.19999981,8.588782901,
2017-12-29,2018-03-30,326.75,315.6499996,341.3706322,-11.10000038,8.60365202,
2017-12-29,2018-03-30,326.75,315.6499996,338.4752674,-11.10000038,8.60365202,
2018-01-01,2018-04-02,326.75,314.5500002,338.5947466,-12.19999981,8.628093547,
2018-01-02,2018-04-03,327.6,313.9000002,343.4639584,-13.69999981,8.656851309,
2018-01-03,2018-04-04,328.8,308.6500004,341.1835239,-20.14999962,8.76449758,
2018-01-04,2018-04-05,326.1,314.0499998,341.0266081,-12.05000019,8.755715682,
2018-01-05,2018-04-06,330.05,312.3,343.2505501,-17.75,8.796109147,
2018-01-08,2018-04-09,332.35,314.0500008,344.1201368,-18.29999924,8.75667298,
2018-01-09,2018-04-10,331.55,314.55,340.6722773,-17,8.660382292,
2018-01-10,2018-04-11,328.95,313.5500004,336.9022228,-15.39999962,8.58222169,
2018-01-11,2018-04-12,327.6,312.85,334.4050895,-14.75,8.552105208,
2018-01-12,2018-04-13,327.95,315.5500004,337.8390657,-12.39999962,8.51016727,
2018-01-15,2018-04-16,328.4,315.4,341.8614706,-13,8.459735154,
2018-01-16,2018-04-17,331.6,315.4999996,340.4240185,-16.10000038,8.396531502,
2018-01-17,2018-04-18,330.3,318.6999996,341.5903996,-11.60000038,8.251583446,
2018-01-18,2018-04-19,330.5,320.1000004,344.0821095,-10.39999962,8.130803898,
2018-01-19,2018-04-20,330.7,318.0000002,341.2878792,-12.69999981,7.99902427,
2018-01-22,2018-04-23,327.35,318.2000004,339.0279699,-9.149999619,7.855510144,
2018-01-23,2018-04-24,332.35,316.4500004,344.7049385,-15.89999962,7.77950583,
2018-01-24,2018-04-25,332.7,314.0500004,344.8845388,-18.64999962,7.594015249,
