date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std
2017-11-30,2018-03-01,323.35,313.54999980926516,323.90041360855105,-9.800000190734863,7.516062713811583
2017-12-01,2018-03-02,322.95,309.25000019073485,324.2831264257431,-13.699999809265137,7.724855631152245
2017-12-04,2018-03-05,326.1,304.95000038146975,319.37346467971804,21.149999618530273,8.05621656184684
2017-12-05,2018-03-06,327.7,311.40000076293944,322.38086624145507,16.299999237060547,8.178633007953586
2017-12-06,2018-03-07,322.75,311.55000019073486,331.28283882141113,-11.199999809265137,8.277834446492825
2017-12-07,2018-03-08,321.8,314.70000009536744,331.901092338562,-7.099999904632568,8.337492516850107
2017-12-08,2018-03-09,322.5,318.19999980926514,333.4826650619507,-4.300000190734863,8.355002165697579
2017-12-11,2018-03-12,322.6,321.2000000238419,331.6322999954224,-1.399999976158142,8.356800930671488
2017-12-12,2018-03-13,321.55,322.5999999523163,334.9686544418335,1.0499999523162842,8.356800930671488
2017-12-13,2018-03-14,323.95,322.6500000476837,326.5439185619354,-1.2999999523162842,8.355788336114598
2017-12-14,2018-03-15,325.4,323.94999995231626,323.10295548439024,1.4500000476837158,8.355788336114598
2017-12-15,2018-03-16,323.85,323.1,323.22670302391055,0.75,8.348759556397356
2017-12-18,2018-03-19,325.25,320.94999980926514,331.68120861053467,-4.300000190734863,8.34956920709422
2017-12-19,2018-03-20,324.95,322.4000000476837,317.67792863845824,2.549999952316284,8.342650129833519
2017-12-20,2018-03-21,324.65,322.69999995231626,327.1358236312866,-1.9500000476837158,8.337023227369967
2017-12-21,2018-03-22,317.95,323.2,321.1059374332428,5.25,8.333052256332007
2017-12-22,2018-03-23,319.6,312.6,321.75181422233584,-7.0,8.403032842712863
2017-12-25,2018-03-26,319.6,315.6,325.53041944503786,-4.0,8.437520577545488
2017-12-26,2018-03-27,318.55,316.2500000476837,318.4659813299775,2.299999952316284,8.4639782454191
2017-12-27,2018-03-28,322.3,311.74999980926515,322.14651532769204,10.550000190734863,8.550505921590345
2017-12-28,2018-03-29,326.75,315.55000019073486,323.3996374607086,11.199999809265137,8.588782901257998
2017-12-29,2018-03-30,326.75,315.6499996185303,323.4372594356537,11.100000381469727,8.60365202042587
2018-01-01,2018-04-02,326.75,314.55000019073486,340.7864999771118,-12.199999809265137,8.628093546766186
2018-01-02,2018-04-03,327.6,313.9000001907349,340.1766544342041,-13.699999809265137,8.65685130934306
2018-01-03,2018-04-04,328.8,308.65000038146974,346.3396842956543,-20.149999618530273,8.76449758013361
2018-01-04,2018-04-05,326.1,314.04999980926516,339.9995342254639,-12.050000190734863,8.755715682316161
2018-01-05,2018-04-06,330.05,312.3,344.088010597229,-17.75,8.79610914726143
2018-01-08,2018-04-09,332.35,314.0500007629395,346.79919204711916,-18.299999237060547,8.756672979980566
2018-01-09,2018-04-10,331.55,314.55,344.8877847671509,-17.0,8.660382292094356
2018-01-10,2018-04-11,328.95,313.5500003814697,338.08023567199706,-15.399999618530273,8.582221690071234
2018-01-11,2018-04-12,327.6,312.85,326.8614221572876,14.75,8.552105208456192
2018-01-12,2018-04-13,327.95,315.5500003814697,331.45637984275817,-12.399999618530273,8.510167270371188
2018-01-15,2018-04-16,328.4,315.4,339.0390390396118,-13.0,8.459735154312982
2018-01-16,2018-04-17,331.6,315.4999996185303,334.9935732841492,-16.100000381469727,8.396531501682185
2018-01-17,2018-04-18,330.3,318.6999996185303,330.31727861166,-11.600000381469727,8.251583446262263
2018-01-18,2018-04-19,330.5,320.1000003814697,342.0988349914551,-10.399999618530273,8.130803898014761
2018-01-19,2018-04-20,330.7,318.00000019073485,335.30548067092894,-12.699999809265137,7.999024270333807
2018-01-22,2018-04-23,327.35,318.20000038146975,332.01510152816775,-9.149999618530273,7.855510144289781
2018-01-23,2018-04-24,332.35,316.45000038146975,340.4763418197632,-15.899999618530273,7.779505829788353
2018-01-24,2018-04-25,332.7,314.0500003814697,339.29975576400756,-18.649999618530273,7.594015248803996
2018-01-25,2018-04-26,335.4,318.54999961853025,343.495362663269,-16.850000381469727,7.368939452052694
2018-01-26,2018-04-27,337.05,321.24999980926515,340.0100853919983,-15.800000190734863,7.047310651063102
2018-01-29,2018-04-30,339.6,322.7499996185303,344.8174072265625,-16.850000381469727,6.6476251959568815
2018-01-30,2018-05-01,335.0,322.75,349.33856105804443,-12.25,6.0792921564556455
2018-01-31,2018-05-02,335.55,320.8500001907349,341.84578828811647,-14.699999809265137,5.674190124276201
