date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std
2017-12-29,2017-12-30,326.75,326.75,327.4482023119926,-0.0,0.0
2018-01-01,2018-01-02,326.75,328.1000000238418,326.3134378790856,-1.350000023841858,0.9545941546018551
2018-01-02,2018-01-03,328.1,329.7000000238419,327.7633891165257,-1.600000023841858,1.1313708498984525
2018-01-03,2018-01-04,329.7,330.7499999523164,328.99762279987334,-1.0499999523162842,0.7424621202458829
2018-01-04,2018-01-05,330.75,330.30000001192093,329.4584684371948,0.44999998807907104,0.3181980515339384
2018-01-05,2018-01-06,330.3,333.25000004768367,331.9589634418488,2.9500000476837163,0.3181980515339384
2018-01-08,2018-01-09,333.25,334.1000000238418,332.63713735342026,-0.8500000238418579,0.6010407640085815
2018-01-09,2018-01-10,334.1,332.55000004768374,333.67362949848183,1.5499999523162842,1.0960155108391567
2018-01-10,2018-01-11,332.55,329.45000009536744,331.47323541641236,3.0999999046325684,2.1920310216783134
2018-01-11,2018-01-12,329.45,328.80000002384185,329.77160541415213,-0.6499999761581421,0.4596194077712398
2018-01-12,2018-01-13,328.8,330.3499999523163,329.5125393152237,1.5499999523162842,0.4596194077712398
2018-01-15,2018-01-16,330.35,331.8999999523163,331.53417537212374,1.5499999523162842,1.0960155108391163
2018-01-16,2018-01-17,331.9,331.4999999940395,332.37234806418417,-0.4000000059604645,0.28284271247460296
2018-01-17,2018-01-18,331.5,333.29999995231634,331.7947617173195,1.7999999523162842,1.2727922061357937
2018-01-18,2018-01-19,333.3,331.75000004768367,333.40813715308906,-1.5499999523162842,1.0960155108391567
2018-01-19,2018-01-20,331.75,330.64999997615814,332.8763242959976,-1.100000023841858,1.0960155108391567
2018-01-22,2018-01-23,330.65,332.3500000476837,330.47517367601387,-1.7000000476837158,1.202081528017163
2018-01-23,2018-01-24,332.35,333.9500000238419,333.0929883480072,1.600000023841858,1.1313708498984525
2018-01-24,2018-01-25,333.95,335.9999999523164,334.6210271835327,2.049999952316284,1.4495689014324304
2018-01-25,2018-01-26,336.0,337.04999995231634,335.74851077795034,-1.0499999523162842,0.7424621202458829
2018-01-26,2018-01-27,337.05,340.8999999046326,338.5603294849396,3.8499999046325684,0.7424621202458829
2018-01-29,2018-01-30,340.9,339.5499999761581,341.4521437525749,-1.350000023841858,0.9545941546018152
