month,year,시가,손절 -3,누적손익,고점대비하락폭,leverage,invest rate,행 레이블,평균 : 시가,합계 : 손절 -3,행 레이블,평균 : 시가,합계 : 손절 -3,,년,지수평균,손익,누적,고점대비하락폭,
1,2007,201.9,-0.6,0.977711738,0,7.5,0.3,2007,230.1318008,18.54988403,2007,230.1318008,18.54988403,,2007,230.1318008,18.54988403,1.604541092,0,
1,2007,202.35,0.850003052,0.986952561,0,,,1,194.723913,-8.099972534,1,194.723913,-8.099972534,,2008,205.4921756,75.80007935,2.936245178,0,
1,2007,202.2,3.7,1.027587477,0,,,2,200.35,12.99997864,2,200.35,12.99997864,,2009,193.46341,37.64992065,4.221946415,0,
1,2007,198.35,-3,0.992617901,0.034030754,,,3,198.125,4.549978638,3,198.125,4.549978638,,2010,239.6787356,-1.099975586,4.178350201,0.010326094,
1,2007,196,-3,0.958433356,0.067297552,,,4,208.3761905,-0.949981689,4,208.3761905,-0.949981689,,2011,267.5926923,-31.65019531,3.066389342,0.273702449,
1,2007,193.35,-0.999996948,0.94728017,0.07815131,,,5,218.6869565,3.100009155,5,218.6869565,3.100009155,,2012,258.058046,-24.30035706,2.416701013,0.427586053,
1,2007,193.3,-0.45,0.942318343,0.082979927,,,6,233.7666667,19.74997559,6,233.7666667,19.74997559,,2013,255.4212644,45.25007935,3.380014713,0.199417903,
1,2007,192.45,-3,0.909267427,0.115143531,,,7,252.3227273,-5.550012207,7,252.3227273,-5.550012207,,2014,253.2586207,33.44997253,4.384474691,0,
1,2007,190.4,1.100003052,0.921086981,0.103641294,,,8,239.7891304,2.349981689,8,239.7891304,2.349981689,,2015,244.0438697,53.24986267,6.537011937,0,
1,2007,193.2,1.3,0.935032009,0.090070646,,,9,248.4725,22.69998169,9,248.4725,22.69998169,,2016,245.2247126,3.400036621,6.740941954,0,
1,2007,195.2,-0.2,0.932876454,0.092168332,,,10,262.65,-18.50003357,10,262.65,-18.50003357,,2017,301.1430769,35.45012817,8.526393349,0,
1,2007,195.5,0.149993896,0.934486853,0.090601167,,,11,252.4772727,-22.04999695,11,252.4772727,-22.04999695,,2018,300.4088123,21.14974976,9.87703596,0,
1,2007,194.75,-1.100012207,0.9226107,0.102158482,,,12,251.1452381,8.249975586,12,251.1452381,8.249975586,,,,,,,
1,2007,193.05,1.650003052,0.940353247,0.084892267,,,2008,205.4921756,75.80007935,2008,205.4921756,75.80007935,,월,지수평균,손익,누적,고점대비하락폭,수율
1,2007,192.85,-2.4,0.914022381,0.110516232,,,1,232.3326087,14.40004883,1,232.3326087,14.40004883,,1,194.723913,-8.099972534,0.688020885,0,0.5625
1,2007,191.4,0.600003052,0.92046928,0.104242412,,,2,225.3261905,-4.949969482,2,225.3261905,-4.949969482,,2,200.35,12.99997864,0.788467992,0,
1,2007,190.95,0.850003052,0.929688467,0.095270731,,,3,219.6642857,2.549969482,3,219.6642857,2.549969482,,3,198.125,4.549978638,0.829209459,0,
1,2007,192.85,-2.299990845,0.904741002,0.119548436,,,4,237.7386364,9.200006104,4,237.7386364,9.200006104,,4,208.3761905,-0.949981689,0.820703684,0.010257692,
1,2007,195.7,-0.599987793,0.898499942,0.125621943,,,5,246.6386364,7.150006104,5,246.6386364,7.150006104,,5,218.6869565,3.100009155,0.846880028,0,
1,2007,194,1.450003052,0.913610056,0.110917487,,,6,233.8214286,3.400015259,6,233.8214286,3.400015259,,6,233.7666667,19.74997559,1.007866131,0,
1,2007,193.4,-1.299996948,0.899792563,0.124364024,,,7,210.6021739,19.4000061,7,210.6021739,19.4000061,,7,252.3227273,-5.550012207,0.957986534,0.0494903,
1,2007,191.95,1.15,0.911921833,0.112560388,,,8,206.047619,-13.3,8,206.047619,-13.3,,8,239.7891304,2.349981689,0.979110571,0.028531131,
1,2007,193.55,-1.95,0.891249877,0.132677367,,,9,192.8818182,11.35001526,9,192.8818182,11.35001526,,9,248.4725,22.69998169,1.180372409,0,
2,2007,192.3,2.249996948,0.914712936,0.109844216,,,10,165.0717391,15.2500061,10,165.0717391,15.2500061,,10,262.65,-18.50003357,0.993305625,0.158481156,
2,2007,195,2.999996948,0.946376044,0.079031162,,,11,145.2125,13.39997559,11,145.2125,13.39997559,,11,252.4772727,-22.04999695,0.79811828,0.323841972,
2,2007,198.35,-0.549993896,0.940471697,0.084776997,,,12,150.8173913,-2.05,12,150.8173913,-2.05,,12,251.1452381,8.249975586,0.857108158,0.273866323,
2,2007,199.25,-0.850012207,0.931444455,0.093561886,,,2009,193.46341,37.64992065,2009,193.46341,37.64992065,,1,232.3326087,14.40004883,0.976636788,0.172602832,
2,2007,200.4,1.2207E-05,0.931444582,0.093561762,,,1,155.775,-4.750006104,1,155.775,-4.750006104,,2,225.3261905,-4.949969482,0.928363548,0.21349945,
2,2007,200.3,1.099996948,0.942953913,0.08236142,,,2,154.105,-12.15002747,2,154.105,-12.15002747,,3,219.6642857,2.549969482,0.95261156,0.192956771,
2,2007,199.6,-0.1,0.941890964,0.083395832,,,3,155.0090909,11.59997559,3,155.0090909,11.59997559,,4,237.7386364,9.200006104,1.035555892,0.122687142,
